SAMPLE	Taxa	HTF_length	Tailocin_type	Phylogroup
Pseudomonas_syringae_2675C_6916_NZ_MLEX01000022	P_syringae	1386	T2	2d
Pseudomonas_syringae_2676C_6925_NZ_MLEY01000018	P_syringae	1386	T2	2d
Pseudomonas_syringae_31R1_5320_NZ_LT629769	P_syringae	1383	T2	2a
Pseudomonas_syringae_44527_20732_NZ_JARNJB010000018	P_syringae	1530	T1	2b
Pseudomonas_syringae_5264_5873_NZ_NBAQ01000017	P_syringae	1530	T1	2b
Pseudomonas_syringae_7928A_6990_NZ_NBAL01000010	P_syringae	1857	T1	2b
Pseudomonas_syringae_BIM_B-268_17583_NZ_CP068034	P_syringae	1530	T1	2b
Pseudomonas_syringae_BRIP34881_444_NZ_KB316543	P_syringae	1320	T2	2b
Pseudomonas_syringae_BRIP39023_442_NZ_KB316296	P_syringae	1383	T2	2a
Pseudomonas_syringae_BRIP65014-c_20724_NZ_JAJISW010000012	P_syringae	1320	T2	2b
Pseudomonas_syringae_BS0292_5537_NZ_FOVV01000019	P_syringae	1872	T1	2b
Pseudomonas_syringae_BS2732_5563_NZ_FOTU01000003	P_syringae	1875	T1	5
Pseudomonas_syringae_BS2900_5075_NZ_FNPP01000004	P_syringae	1242	NA	1a
Pseudomonas_syringae_BS3827_5522_NZ_FOQB01000010	P_syringae	1170	T2	2b
Pseudomonas_syringae_BS3829_5514_NZ_FOPR01000011	P_syringae	1530	T1	2b
Pseudomonas_syringae_CAS02_17541_NZ_CP032459	P_syringae	1371	T2	2a
Pseudomonas_syringae_CC1557_3076_NZ_CP007014	P_syringae	1320	T2	10b
Pseudomonas_syringae_CC457_20754_NZ_CP127246	P_syringae	1383	T2	2b
Pseudomonas_syringae_CFBP_2116_6934_NZ_LT985192	P_syringae	1872	T1	3
Pseudomonas_syringae_CFBP_8692_12247_NZ_WJSF01000010	P_syringae	1587	T2	2a
Pseudomonas_syringae_Dortyol_2015_6_17564_NZ_JAEIKC010000017	P_syringae	1524	T2	2b
Pseudomonas_syringae_Dr_447_1_17557_NZ_JAEIKL010000026	P_syringae	1320	T2	2b
Pseudomonas_syringae_Erdemli_3_17569_NZ_JAEIJX010000050	P_syringae	1383	T2	2b
Pseudomonas_syringae_Erdemli_6_17567_NZ_JAEIJZ010000010	P_syringae	1383	T2	2b
Pseudomonas_syringae_Erzin_1_17571_NZ_JAEIJV010000042	P_syringae	1320	T2	2b
Pseudomonas_syringae_Erzin_2_17572_NZ_JAEIJW010000011	P_syringae	1320	T2	2b
Pseudomonas_syringae_ICMP_11293_3802_NZ_LKEP01000002	P_syringae	1383	T2	2a
Pseudomonas_syringae_ICMP_4122_6689_NZ_LKBX01000039	P_syringae	1857	T1	2b
Pseudomonas_syringae_isolate_CFBP2118_5951_NZ_LT962481	P_syringae	1857	T1	2d
Pseudomonas_syringae_isolate_CFBP3840_6707_NZ_LT963409	P_syringae	1872	T1	3
Pseudomonas_syringae_isolate_CFBP4215_6752_NZ_LT962480	P_syringae	1857	T1	2d
Pseudomonas_syringae_isolate_CFBP6109_6963_NZ_LT963391	P_syringae	1857	T1	3
Pseudomonas_syringae_Karpuz_1_hishtil_a_17552_NZ_JAEILI010000040	P_syringae	1320	T2	2b
Pseudomonas_syringae_KCTC_12500_26106_NZ_AYTM02000002	P_syringae	1383	T2	2b
Pseudomonas_syringae_KF529_17593_NZ_CP074409	P_syringae	1530	T1	2b
Pseudomonas_syringae_Kozan_2015_1_17562_NZ_JAEIKF010000024	P_syringae	1383	T2	2b
Pseudomonas_syringae_LMG5095_7342_NZ_CP028490	P_syringae	1170	T2	2b
Pseudomonas_syringae_M11_20731_NZ_JAROCH010000010	P_syringae	1872	T1	2b
Pseudomonas_syringae_MB03_4121_NZ_LAGV01000047	P_syringae	1857	T1	2b
Pseudomonas_syringae_MUP17_20728_NZ_CP110807	P_syringae	1383	T2	2b
Pseudomonas_syringae_MUP20_20716_NZ_CP110808	P_syringae	1530	T1	2b
Pseudomonas_syringae_MUP32_20727_NZ_CP110809	P_syringae	1530	T1	2b
Pseudomonas_syringae_NCPPB_3871_5835_NZ_LKEN01000002	P_syringae	1383	T2	2a
Pseudomonas_syringae_NZ45_6142_NZ_MTZF01000001	P_syringae	1875	T1	1b
Pseudomonas_syringae_P108_12228_NZ_VLIA01000012	P_syringae	1170	T2	2b
Pseudomonas_syringae_P121_12232_NZ_VLIE01000021	P_syringae	1320	T2	2b
Pseudomonas_syringae_P78_12243_NZ_WJPU01000012	P_syringae	1587	T2	2a
Pseudomonas_syringae_PA-1-11B_17691_NZ_WJYR01000030	P_syringae	1530	T1	2b
Pseudomonas_syringae_PA-2-9E_17695_NZ_CP066265	P_syringae	1857	T1	10a
Pseudomonas_syringae_PA-5-3F_17693_NZ_WKCY01000048	P_syringae	1170	T2	2b
Pseudomonas_syringae_PA-5-3G_17692_NZ_WKCZ01000015	P_syringae	1875	T1	2b
Pseudomonas_syringae_PsA1M246_17694_NZ_JAKMVN010000019	P_syringae	1857	T1	2a
Pseudomonas_syringae_Pss9654_5872_NZ_MLES01000028	P_syringae	1872	T1	2d
Pseudomonas_syringae_Pss9656_6144_NZ_MLEM01000010	P_syringae	1530	T1	2b
Pseudomonas_syringae_psy100_6403_NZ_MLEV01000005	P_syringae	1383	T2	2a
Pseudomonas_syringae_Psy33_20718_NZ_CP036493	P_syringae	1530	T1	2b
Pseudomonas_syringae_pv_actinidiae_PSAAH01_20743_NZ_CP116478	P_syringae	1875	T1	1b
Pseudomonas_syringae_pv_actinidiae_str_Shaanxi_M228_11439_NZ_CP032631	P_syringae	1875	T1	1b
Pseudomonas_syringae_pv_actinidifoliorum_ICMP_18803_20753_NZ_CP081457	P_syringae	1875	T1	1b
Pseudomonas_syringae_pv_aptata_G733_11468_NZ_RBOI01000041	P_syringae	1857	T1	2a
Pseudomonas_syringae_pv_avellanae_ISPaVe037_292_NZ_JH951894	P_syringae	1857	T1	2b
Pseudomonas_syringae_pv_avellanae_str_ISPaVe013_26105_NZ_JH951849	P_syringae	1875	T1	2b
Pseudomonas_syringae_pv_cilantro_0788_9_3786_NZ_LGLN01000010	P_syringae	1872	T1	5
Pseudomonas_syringae_pv_dysoxyli_CFBP_2356_12226_NZ_VLHW01000015	P_syringae	1383	T2	2a
Pseudomonas_syringae_pv_helianthi_LMG_5067_14836_NZ_CP092918	P_syringae	1530	T1	6
Pseudomonas_syringae_pv_lapsa_ATCC_10859_3811_NZ_CP013183	P_syringae	1521	T2	2b
Pseudomonas_syringae_pv_lapsa_PslA1M171_17765_NZ_JAKMVE010000009	P_syringae	1530	T1	2b
Pseudomonas_syringae_pv_maculicola_M4a_3822_NZ_LGLE01000004	P_syringae	1458	T2	1a
Pseudomonas_syringae_pv_maculicola_str_ES4326_12204_NZ_CP047260	P_syringae	1320	T2	5
Pseudomonas_syringae_pv_maculicola_YM7930_3817_NZ_LGLD01000029	P_syringae	1320	T2	5
Pseudomonas_syringae_pv_papulans_PSP1_20741_NZ_JAFFRZ010000001	P_syringae	1320	T2	2a
Pseudomonas_syringae_pv_syringae_2339_3881_NZ_LIHU01000021	P_syringae	1386	T2	2d
Pseudomonas_syringae_pv_syringae_2340_3879_NZ_LIHT01000078	P_syringae	1386	T2	2d
Pseudomonas_syringae_pv_syringae_41a_3079_NZ_JYHJ01000011	P_syringae	1872	T1	2b
Pseudomonas_syringae_pv_syringae_529_11454_NZ_QPBJ01000022	P_syringae	1323	T2	2d
Pseudomonas_syringae_pv_syringae_Alf3_2478_NZ_KL995102	P_syringae	1233	T2	2b
Pseudomonas_syringae_pv_syringae_B301D_3084_NZ_CP005969	P_syringae	1872	T1	2d
Pseudomonas_syringae_pv_syringae_B48_20739_NZ_CP125300	P_syringae	1872	T1	2d
Pseudomonas_syringae_pv_syringae_B64_281_NZ_CM001763	P_syringae	1872	T1	2b
Pseudomonas_syringae_pv_syringae_B728a_112_NC_007005	P_syringae	1383	T2	2d
Pseudomonas_syringae_pv_syringae_EC33_20735_NZ_JAGSOX010000017	P_syringae	1383	T2	2b
Pseudomonas_syringae_pv_syringae_HO7_20736_NZ_JARNIY010000011	P_syringae	1323	T2	2d
Pseudomonas_syringae_pv_syringae_HS191_3083_NZ_CP006256	P_syringae	1383	T2	2b
Pseudomonas_syringae_pv_syringae_Pss9644_17750_NZ_CP066263	P_syringae	1857	T1	2d
Pseudomonas_syringae_pv_syringae_PssA1M140_20740_NZ_JAKMAG010000016	P_syringae	1857	T1	2d
Pseudomonas_syringae_pv_syringae_PssA1M197_17707_NZ_JAKMVF010000007	P_syringae	1323	T2	2d
Pseudomonas_syringae_pv_syringae_PssA1M201_17710_NZ_JAKMVI010000020	P_syringae	1872	T1	2d
Pseudomonas_syringae_pv_syringae_PssA1M250_17721_NZ_JAKMVP010000021	P_syringae	1386	T2	2d
Pseudomonas_syringae_pv_syringae_PssA1M262_17714_NZ_JAKMVV010000011	P_syringae	1857	T1	2d
Pseudomonas_syringae_pv_syringae_S2_2_20738_NZ_JARNIX010000035	P_syringae	1323	T2	2d
Pseudomonas_syringae_pv_syringae_SM_282_NZ_CM001986	P_syringae	1233	T2	2b
Pseudomonas_syringae_pv_syringae_UMAF0176_17744_NZ_JAJPOK010000010	P_syringae	1872	T1	2a
Pseudomonas_syringae_pv_syringae_UMAF0271_17740_NZ_JAJPOF010000013	P_syringae	1872	T1	2a
Pseudomonas_syringae_pv_syringae_UMAF0297_17737_NZ_JAJPOD010000011	P_syringae	1875	T1	2a
Pseudomonas_syringae_pv_syringae_UMAF1003_17741_NZ_JAJPOJ010000013	P_syringae	1383	T2	2a
Pseudomonas_syringae_pv_syringae_UMAF1013_17734_NZ_JAJPOC010000013	P_syringae	1857	T1	2a
Pseudomonas_syringae_pv_syringae_UMAF2016_17739_NZ_JAJPOG010000015	P_syringae	1383	T2	2a
Pseudomonas_syringae_pv_syringae_UMAF2600_17732_NZ_JAJPOA010000013	P_syringae	1383	T2	2a
Pseudomonas_syringae_pv_syringae_UMAF2801_17738_NZ_JAJPOH010000009	P_syringae	1872	T1	2a
Pseudomonas_syringae_pv_syringae_UMAF2815_17736_NZ_JAJPNZ010000006	P_syringae	1587	T2	2a
Pseudomonas_syringae_pv_syringae_UMAF3028_17702_NZ_JACTWB010000009	P_syringae	1872	T1	2a
Pseudomonas_syringae_pv_syringae_UMAF7000_17735_NZ_JAJPNY010000012	P_syringae	1383	T2	2a
Pseudomonas_syringae_pv_tagetis_ICMP_4091_14835_NZ_CP092923	P_syringae	1530	T1	6
Pseudomonas_syringae_pv_tomato_BRIP38746_11422_NZ_SNVG01000020	P_syringae	1458	T2	1a
Pseudomonas_syringae_R1079_7297_NZ_NQWX01000016	P_syringae	1857	T1	2b
Pseudomonas_syringae_RAYR-BL_17598_NZ_JAHZNS010000008	P_syringae	1875	T1	NA
Pseudomonas_syringae_RMP66_6987_NZ_NHST01000045	P_syringae	1524	T2	2a
Pseudomonas_syringae_Sevgi_fide_PST_17555_NZ_JAEIKN010000010	P_syringae	1530	T1	2b
Pseudomonas_syringae_SHV1866_17586_NZ_JAHARV010000001	P_syringae	1530	T1	2b
Pseudomonas_syringae_SHV323_17590_NZ_JAHARZ010000001	P_syringae	1530	T1	2b
Pseudomonas_syringae_StP26_17597_NZ_CP075880	P_syringae	1170	T2	2b
Pseudomonas_syringae_Susan2139_17596_NZ_CP074578	P_syringae	1530	T1	2b
Pseudomonas_syringae_Susan762_17594_NZ_CP074411	P_syringae	1530	T1	2b
Pseudomonas_syringae_SV1599_17591_NZ_JAHARU010000001	P_syringae	1530	T1	2b
Pseudomonas_syringae_SV921_17588_NZ_JAHARY010000002	P_syringae	1233	T2	2b
Pseudomonas_syringae_Tule1434_17592_NZ_JAHARX010000001	P_syringae	1530	T1	2b
Pseudomonas_syringae_Tule230_17587_NZ_JAHARW010000001	P_syringae	1233	T2	2b
Pseudomonas_syringae_U643_17595_NZ_CP074410	P_syringae	1233	T2	2b
Pseudomonas_syringae_U888_17589_NZ_JAHASA010000001	P_syringae	1170	T2	2b
Pseudomonas_syringae_UB303_12214_NZ_CP047267	P_syringae	1386	T2	2d
Pseudomonas_syringae_UMAF0158_3878_NZ_CP005970	P_syringae	1383	T2	2a
Pseudomonas_syringae_USA011_12213_NZ_CP045799	P_syringae	1386	T2	2d
