Isolate	Reference	Total_Allele_Kmers	Matched_Kmers	PropNorm
34.ESP_1985c_S36	HTF_p7.G11	1063	0	0
64.GBR_1933b_S36	HTF_p21.F9	746	408	0.819277108433735
64.GBR_1933b_S36	HTF_p23.B8	31	0	0
64.GBR_1933b_S36	HTF_p25.A12	777	0	0
64.GBR_1933b_S36	HTF_p25.C2	1167	0	0
64.GBR_1933b_S36	HTF_p26.D6	15	0	0
64.GBR_1933b_S36	HTF_p5.D5	993	1	0.00200803212851406
64.GBR_1933b_S36	HTF_p7.G11	1063	89	0.178714859437751
75.LTU_1894_S30	HTF_p21.F9	746	18	0.0507042253521127
75.LTU_1894_S30	HTF_p23.B8	31	0	0
75.LTU_1894_S30	HTF_p25.A12	777	312	0.87887323943662
75.LTU_1894_S30	HTF_p25.C2	1167	0	0
75.LTU_1894_S30	HTF_p26.D6	15	0	0
75.LTU_1894_S30	HTF_p5.D5	993	1	0.0028169014084507
75.LTU_1894_S30	HTF_p7.G11	1063	24	0.0676056338028169
76.LTU_2009_S19	HTF_p21.F9	746	589	0.991582491582492
76.LTU_2009_S19	HTF_p23.B8	31	0	0
76.LTU_2009_S19	HTF_p25.A12	777	0	0
76.LTU_2009_S19	HTF_p25.C2	1167	0	0
76.LTU_2009_S19	HTF_p26.D6	15	0	0
76.LTU_2009_S19	HTF_p5.D5	993	5	0.00841750841750842
76.LTU_2009_S19	HTF_p7.G11	1063	0	0
86.NOR_1911_S7	HTF_p21.F9	746	0	0
86.NOR_1911_S7	HTF_p23.B8	31	2	1
86.NOR_1911_S7	HTF_p25.A12	777	0	0
86.NOR_1911_S7	HTF_p25.C2	1167	0	0
86.NOR_1911_S7	HTF_p26.D6	15	0	0
86.NOR_1911_S7	HTF_p5.D5	993	0	0
86.NOR_1911_S7	HTF_p7.G11	1063	0	0
HB0737	HTF_p21.F9	746	0	0
HB0737	HTF_p23.B8	31	23	1
HB0737	HTF_p25.A12	777	0	0
HB0737	HTF_p25.C2	1167	0	0
HB0737	HTF_p26.D6	15	0	0
HB0737	HTF_p5.D5	993	0	0
HB0737	HTF_p7.G11	1063	0	0
HB0766	HTF_p21.F9	746	273	0.968085106382979
HB0766	HTF_p23.B8	31	0	0
HB0766	HTF_p25.A12	777	0	0
HB0766	HTF_p25.C2	1167	8	0.0283687943262411
HB0766	HTF_p26.D6	15	0	0
HB0766	HTF_p5.D5	993	1	0.00354609929078014
HB0766	HTF_p7.G11	1063	0	0
HB0808	HTF_p21.F9	746	0	0
HB0808	HTF_p23.B8	31	0	0
HB0808	HTF_p25.A12	777	14	0.518518518518518
HB0808	HTF_p25.C2	1167	0	0
HB0808	HTF_p26.D6	15	0	0
HB0808	HTF_p5.D5	993	0	0
HB0808	HTF_p7.G11	1063	13	0.481481481481481
HB0814	HTF_p21.F9	746	128	0.300469483568075
HB0814	HTF_p23.B8	31	0	0
HB0814	HTF_p25.A12	777	291	0.683098591549296
HB0814	HTF_p25.C2	1167	0	0
HB0814	HTF_p26.D6	15	0	0
HB0814	HTF_p5.D5	993	0	0
HB0814	HTF_p7.G11	1063	7	0.0164319248826291
HB0828	HTF_p21.F9	746	67	0.280334728033473
HB0828	HTF_p23.B8	31	0	0
HB0828	HTF_p25.A12	777	172	0.719665271966527
HB0828	HTF_p25.C2	1167	0	0
HB0828	HTF_p26.D6	15	0	0
HB0828	HTF_p5.D5	993	0	0
HB0828	HTF_p7.G11	1063	0	0
HB0840	HTF_p21.F9	746	0	0
HB0840	HTF_p23.B8	31	0	0
HB0840	HTF_p25.A12	777	0	0
HB0840	HTF_p25.C2	1167	0	0
HB0840	HTF_p26.D6	15	0	0
HB0840	HTF_p5.D5	993	0	0
HB0840	HTF_p7.G11	1063	176	1
HB0841	HTF_p21.F9	746	0	0
HB0841	HTF_p23.B8	31	0	0
HB0841	HTF_p25.A12	777	71	0.422619047619048
HB0841	HTF_p25.C2	1167	0	0
HB0841	HTF_p26.D6	15	0	0
HB0841	HTF_p5.D5	993	0	0
HB0841	HTF_p7.G11	1063	97	0.577380952380952
HB0863	HTF_p21.F9	746	44	1
HB0863	HTF_p23.B8	31	0	0
HB0863	HTF_p25.A12	777	0	0
HB0863	HTF_p25.C2	1167	0	0
HB0863	HTF_p26.D6	15	0	0
HB0863	HTF_p5.D5	993	0	0
HB0863	HTF_p7.G11	1063	0	0
PL0001	HTF_p21.F9	746	238	1
PL0001	HTF_p23.B8	31	0	0
PL0001	HTF_p25.A12	777	0	0
PL0001	HTF_p25.C2	1167	0	0
PL0001	HTF_p26.D6	15	0	0
PL0001	HTF_p5.D5	993	0	0
PL0001	HTF_p7.G11	1063	0	0
PL0026	HTF_p21.F9	746	0	NA
PL0026	HTF_p23.B8	31	0	NA
PL0026	HTF_p25.A12	777	0	NA
PL0026	HTF_p25.C2	1167	0	NA
PL0026	HTF_p26.D6	15	0	NA
PL0026	HTF_p5.D5	993	0	NA
PL0026	HTF_p7.G11	1063	0	NA
PL0027	HTF_p21.F9	746	0	NA
PL0027	HTF_p23.B8	31	0	NA
PL0027	HTF_p25.A12	777	0	NA
PL0027	HTF_p25.C2	1167	0	NA
PL0027	HTF_p26.D6	15	0	NA
PL0027	HTF_p5.D5	993	0	NA
PL0027	HTF_p7.G11	1063	0	NA
PL0042	HTF_p21.F9	746	0	0
PL0042	HTF_p23.B8	31	0	0
PL0042	HTF_p25.A12	777	337	0.800475059382423
PL0042	HTF_p25.C2	1167	0	0
PL0042	HTF_p26.D6	15	0	0
PL0042	HTF_p5.D5	993	54	0.128266033254157
PL0042	HTF_p7.G11	1063	30	0.0712589073634204
PL0046	HTF_p21.F9	746	190	0.826086956521739
PL0046	HTF_p23.B8	31	0	0
PL0046	HTF_p25.A12	777	31	0.134782608695652
PL0046	HTF_p25.C2	1167	8	0.0347826086956522
PL0046	HTF_p26.D6	15	0	0
PL0046	HTF_p5.D5	993	1	0.00434782608695652
PL0046	HTF_p7.G11	1063	0	0
PL0051	HTF_p21.F9	746	0	0
PL0051	HTF_p23.B8	31	0	0
PL0051	HTF_p25.A12	777	305	0.894428152492669
PL0051	HTF_p25.C2	1167	0	0
PL0051	HTF_p26.D6	15	0	0
PL0051	HTF_p5.D5	993	6	0.0175953079178886
PL0051	HTF_p7.G11	1063	30	0.0879765395894428
PL0053	HTF_p21.F9	746	0	NA
PL0053	HTF_p23.B8	31	0	NA
PL0053	HTF_p25.A12	777	0	NA
PL0053	HTF_p25.C2	1167	0	NA
PL0053	HTF_p26.D6	15	0	NA
PL0053	HTF_p5.D5	993	0	NA
PL0053	HTF_p7.G11	1063	0	NA
PL0059	HTF_p21.F9	746	0	0
PL0059	HTF_p23.B8	31	31	0.939393939393939
PL0059	HTF_p25.A12	777	0	0
PL0059	HTF_p25.C2	1167	0	0
PL0059	HTF_p26.D6	15	2	0.0606060606060606
PL0059	HTF_p5.D5	993	0	0
PL0059	HTF_p7.G11	1063	0	0
PL0065	HTF_p21.F9	746	0	NA
PL0065	HTF_p23.B8	31	0	NA
PL0065	HTF_p25.A12	777	0	NA
PL0065	HTF_p25.C2	1167	0	NA
PL0065	HTF_p26.D6	15	0	NA
PL0065	HTF_p5.D5	993	0	NA
PL0065	HTF_p7.G11	1063	0	NA
PL0066	HTF_p21.F9	746	97	1
PL0066	HTF_p23.B8	31	0	0
PL0066	HTF_p25.A12	777	0	0
PL0066	HTF_p25.C2	1167	0	0
PL0066	HTF_p26.D6	15	0	0
PL0066	HTF_p5.D5	993	0	0
PL0066	HTF_p7.G11	1063	0	0
PL0068	HTF_p21.F9	746	0	0
PL0068	HTF_p23.B8	31	14	0.933333333333333
PL0068	HTF_p25.A12	777	0	0
PL0068	HTF_p25.C2	1167	0	0
PL0068	HTF_p26.D6	15	1	0.0666666666666667
PL0068	HTF_p5.D5	993	0	0
PL0068	HTF_p7.G11	1063	0	0
PL0073	HTF_p21.F9	746	0	0
PL0073	HTF_p23.B8	31	0	0
PL0073	HTF_p25.A12	777	23	0.0950413223140496
PL0073	HTF_p25.C2	1167	0	0
PL0073	HTF_p26.D6	15	0	0
PL0073	HTF_p5.D5	993	0	0
PL0073	HTF_p7.G11	1063	219	0.90495867768595
PL0080	HTF_p21.F9	746	25	0.0525210084033613
PL0080	HTF_p23.B8	31	0	0
PL0080	HTF_p25.A12	777	450	0.945378151260504
PL0080	HTF_p25.C2	1167	0	0
PL0080	HTF_p26.D6	15	0	0
PL0080	HTF_p5.D5	993	1	0.00210084033613445
PL0080	HTF_p7.G11	1063	0	0
PL0087	HTF_p21.F9	746	0	0
PL0087	HTF_p23.B8	31	0	0
PL0087	HTF_p25.A12	777	0	0
PL0087	HTF_p25.C2	1167	0	0
PL0087	HTF_p26.D6	15	0	0
PL0087	HTF_p5.D5	993	147	1
PL0087	HTF_p7.G11	1063	0	0
PL0102	HTF_p21.F9	746	0	0
PL0102	HTF_p23.B8	31	0	0
PL0102	HTF_p25.A12	777	358	0.776572668112798
PL0102	HTF_p25.C2	1167	0	0
PL0102	HTF_p26.D6	15	0	0
PL0102	HTF_p5.D5	993	73	0.158351409978308
PL0102	HTF_p7.G11	1063	30	0.0650759219088937
PL0105	HTF_p21.F9	746	15	1
PL0105	HTF_p23.B8	31	0	0
PL0105	HTF_p25.A12	777	0	0
PL0105	HTF_p25.C2	1167	0	0
PL0105	HTF_p26.D6	15	0	0
PL0105	HTF_p5.D5	993	0	0
PL0105	HTF_p7.G11	1063	0	0
PL0108	HTF_p21.F9	746	0	0
PL0108	HTF_p23.B8	31	0	0
PL0108	HTF_p25.A12	777	126	1
PL0108	HTF_p25.C2	1167	0	0
PL0108	HTF_p26.D6	15	0	0
PL0108	HTF_p5.D5	993	0	0
PL0108	HTF_p7.G11	1063	0	0
PL0127	HTF_p21.F9	746	0	0
PL0127	HTF_p23.B8	31	0	0
PL0127	HTF_p25.A12	777	27	0.0503731343283582
PL0127	HTF_p25.C2	1167	0	0
PL0127	HTF_p26.D6	15	0	0
PL0127	HTF_p5.D5	993	1	0.00186567164179104
PL0127	HTF_p7.G11	1063	508	0.947761194029851
PL0131	HTF_p21.F9	746	28	0.0565656565656566
PL0131	HTF_p23.B8	31	0	0
PL0131	HTF_p25.A12	777	22	0.0444444444444444
PL0131	HTF_p25.C2	1167	0	0
PL0131	HTF_p26.D6	15	0	0
PL0131	HTF_p5.D5	993	445	0.898989898989899
PL0131	HTF_p7.G11	1063	0	0
PL0137	HTF_p21.F9	746	0	0
PL0137	HTF_p23.B8	31	0	0
PL0137	HTF_p25.A12	777	0	0
PL0137	HTF_p25.C2	1167	0	0
PL0137	HTF_p26.D6	15	2	1
PL0137	HTF_p5.D5	993	0	0
PL0137	HTF_p7.G11	1063	0	0
PL0139	HTF_p21.F9	746	97	1
PL0139	HTF_p23.B8	31	0	0
PL0139	HTF_p25.A12	777	0	0
PL0139	HTF_p25.C2	1167	0	0
PL0139	HTF_p26.D6	15	0	0
PL0139	HTF_p5.D5	993	0	0
PL0139	HTF_p7.G11	1063	0	0
PL0185	HTF_p21.F9	746	0	0
PL0185	HTF_p23.B8	31	0	0
PL0185	HTF_p25.A12	777	250	0.943396226415094
PL0185	HTF_p25.C2	1167	0	0
PL0185	HTF_p26.D6	15	0	0
PL0185	HTF_p5.D5	993	15	0.0566037735849057
PL0185	HTF_p7.G11	1063	0	0
PL0203	HTF_p21.F9	746	0	0
PL0203	HTF_p23.B8	31	0	0
PL0203	HTF_p25.A12	777	0	0
PL0203	HTF_p25.C2	1167	0	0
PL0203	HTF_p26.D6	15	0	0
PL0203	HTF_p5.D5	993	0	0
PL0203	HTF_p7.G11	1063	36	1
PL0210	HTF_p21.F9	746	0	0
PL0210	HTF_p23.B8	31	0	0
PL0210	HTF_p25.A12	777	0	0
PL0210	HTF_p25.C2	1167	0	0
PL0210	HTF_p26.D6	15	0	0
PL0210	HTF_p5.D5	993	0	0
PL0210	HTF_p7.G11	1063	496	1
PL0220	HTF_p21.F9	746	21	0.0721649484536082
PL0220	HTF_p23.B8	31	0	0
PL0220	HTF_p25.A12	777	248	0.852233676975945
PL0220	HTF_p25.C2	1167	0	0
PL0220	HTF_p26.D6	15	0	0
PL0220	HTF_p5.D5	993	22	0.0756013745704467
PL0220	HTF_p7.G11	1063	0	0
PL0222	HTF_p21.F9	746	0	0
PL0222	HTF_p23.B8	31	0	0
PL0222	HTF_p25.A12	777	0	0
PL0222	HTF_p25.C2	1167	0	0
PL0222	HTF_p26.D6	15	0	0
PL0222	HTF_p5.D5	993	0	0
PL0222	HTF_p7.G11	1063	29	1
PL0224	HTF_p21.F9	746	223	0.70125786163522
PL0224	HTF_p23.B8	31	0	0
PL0224	HTF_p25.A12	777	0	0
PL0224	HTF_p25.C2	1167	0	0
PL0224	HTF_p26.D6	15	0	0
PL0224	HTF_p5.D5	993	0	0
PL0224	HTF_p7.G11	1063	95	0.29874213836478
PL0230	HTF_p21.F9	746	0	0
PL0230	HTF_p23.B8	31	0	0
PL0230	HTF_p25.A12	777	31	0.171270718232044
PL0230	HTF_p25.C2	1167	0	0
PL0230	HTF_p26.D6	15	0	0
PL0230	HTF_p5.D5	993	1	0.00552486187845304
PL0230	HTF_p7.G11	1063	149	0.823204419889503
PL0235	HTF_p21.F9	746	216	0.9
PL0235	HTF_p23.B8	31	0	0
PL0235	HTF_p25.A12	777	5	0.0208333333333333
PL0235	HTF_p25.C2	1167	0	0
PL0235	HTF_p26.D6	15	0	0
PL0235	HTF_p5.D5	993	0	0
PL0235	HTF_p7.G11	1063	19	0.0791666666666667
PL0240	HTF_p21.F9	746	564	1
PL0240	HTF_p23.B8	31	0	0
PL0240	HTF_p25.A12	777	0	0
PL0240	HTF_p25.C2	1167	0	0
PL0240	HTF_p26.D6	15	0	0
PL0240	HTF_p5.D5	993	0	0
PL0240	HTF_p7.G11	1063	0	0
PL0258	HTF_p21.F9	746	10	0.32258064516129
PL0258	HTF_p23.B8	31	0	0
PL0258	HTF_p25.A12	777	0	0
PL0258	HTF_p25.C2	1167	0	0
PL0258	HTF_p26.D6	15	0	0
PL0258	HTF_p5.D5	993	0	0
PL0258	HTF_p7.G11	1063	21	0.67741935483871
