Isolate	Reference	Total_Allele_Kmers	Matched_Kmers	Prop
p21.F9	HTF_p25.C2	1167	0	0.0
p21.F9	HTF_p26.D6	15	0	0.0
p21.F9	HTF_p5.D5	993	0	0.0
p21.F9	HTF_p7.G11	1063	0	0.0
p22.A8	HTF_p21.F9	746	420	0.563
p22.A8	HTF_p23.B8	31	0	0.0
p22.A8	HTF_p25.A12	777	0	0.0
p22.A8	HTF_p25.C2	1167	0	0.0
p22.A8	HTF_p26.D6	15	13	0.8667
p22.A8	HTF_p5.D5	993	27	0.0272
p22.A8	HTF_p7.G11	1063	26	0.0245
p22.B5	HTF_p21.F9	746	420	0.563
p22.B5	HTF_p23.B8	31	0	0.0
p22.B5	HTF_p25.A12	777	0	0.0
p22.B5	HTF_p25.C2	1167	0	0.0
p22.B5	HTF_p26.D6	15	13	0.8667
p22.B5	HTF_p5.D5	993	27	0.0272
p22.B5	HTF_p7.G11	1063	31	0.0292
p22.C1	HTF_p21.F9	746	0	0.0
p22.C1	HTF_p23.B8	31	0	0.0
p22.C1	HTF_p25.A12	777	358	0.4607
p22.C1	HTF_p25.C2	1167	0	0.0
p22.C1	HTF_p26.D6	15	13	0.8667
p22.C1	HTF_p5.D5	993	76	0.0765
p22.C1	HTF_p7.G11	1063	52	0.0489
p22.D1	HTF_p21.F9	746	480	0.6434
p22.D1	HTF_p23.B8	31	0	0.0
p22.D1	HTF_p25.A12	777	0	0.0
p22.D1	HTF_p25.C2	1167	0	0.0
p22.D1	HTF_p26.D6	15	0	0.0
p22.D1	HTF_p5.D5	993	0	0.0
p22.D1	HTF_p7.G11	1063	0	0.0
p22.D4	HTF_p21.F9	746	0	0.0
p22.D4	HTF_p23.B8	31	0	0.0
p22.D4	HTF_p25.A12	777	0	0.0
p22.D4	HTF_p25.C2	1167	0	0.0
p22.D4	HTF_p26.D6	15	15	1.0
p22.D4	HTF_p5.D5	993	0	0.0
p22.D4	HTF_p7.G11	1063	0	0.0
p23.A3	HTF_p21.F9	746	76	0.1019
p23.A3	HTF_p23.B8	31	0	0.0
p23.A3	HTF_p25.A12	777	137	0.1763
p23.A3	HTF_p25.C2	1167	0	0.0
p23.A3	HTF_p26.D6	15	0	0.0
p23.A3	HTF_p5.D5	993	0	0.0
p23.A3	HTF_p7.G11	1063	455	0.428
p23.B2	HTF_p21.F9	746	38	0.0509
p23.B2	HTF_p23.B8	31	0	0.0
p23.B2	HTF_p25.A12	777	3	0.0039
p23.B2	HTF_p25.C2	1167	0	0.0
p23.B2	HTF_p26.D6	15	0	0.0
p23.B2	HTF_p5.D5	993	1	0.001
p23.B2	HTF_p7.G11	1063	764	0.7187
p23.B8	HTF_p21.F9	746	0	0.0
p23.B8	HTF_p23.B8	31	31	1.0
p23.B8	HTF_p25.A12	777	0	0.0
p23.B8	HTF_p25.C2	1167	0	0.0
p23.B8	HTF_p26.D6	15	0	0.0
p23.B8	HTF_p5.D5	993	0	0.0
p23.B8	HTF_p7.G11	1063	0	0.0
p24.B5	HTF_p21.F9	746	0	0.0
p24.B5	HTF_p23.B8	31	0	0.0
p24.B5	HTF_p25.A12	777	358	0.4607
p24.B5	HTF_p25.C2	1167	0	0.0
p24.B5	HTF_p26.D6	15	10	0.6667
p24.B5	HTF_p5.D5	993	76	0.0765
p24.B5	HTF_p7.G11	1063	46	0.0433
p24.H2	HTF_p21.F9	746	10	0.0134
p24.H2	HTF_p23.B8	31	0	0.0
p24.H2	HTF_p25.A12	777	16	0.0206
p24.H2	HTF_p25.C2	1167	0	0.0
p24.H2	HTF_p26.D6	15	13	0.8667
p24.H2	HTF_p5.D5	993	1	0.001
p24.H2	HTF_p7.G11	1063	572	0.5381
p25.A12	HTF_p21.F9	746	0	0.0
p25.A12	HTF_p23.B8	31	0	0.0
p25.A12	HTF_p25.A12	777	728	0.9369
p25.A12	HTF_p25.C2	1167	0	0.0
p25.A12	HTF_p26.D6	15	0	0.0
p25.A12	HTF_p5.D5	993	0	0.0
p25.A12	HTF_p7.G11	1063	0	0.0
p25.B2	HTF_p21.F9	746	0	0.0
p25.B2	HTF_p23.B8	31	0	0.0
p25.B2	HTF_p25.A12	777	0	0.0
p25.B2	HTF_p25.C2	1167	918	0.7866
p25.B2	HTF_p26.D6	15	0	0.0
p25.B2	HTF_p5.D5	993	0	0.0
p25.B2	HTF_p7.G11	1063	0	0.0
p25.C11	HTF_p21.F9	746	701	0.9397
p25.C11	HTF_p23.B8	31	0	0.0
p25.C11	HTF_p25.A12	777	13	0.0167
p25.C11	HTF_p25.C2	1167	0	0.0
p25.C11	HTF_p26.D6	15	0	0.0
p25.C11	HTF_p5.D5	993	0	0.0
p25.C11	HTF_p7.G11	1063	0	0.0
p25.C2	HTF_p21.F9	746	0	0.0
p25.C2	HTF_p23.B8	31	0	0.0
p25.C2	HTF_p25.A12	777	0	0.0
p25.C2	HTF_p25.C2	1167	1163	0.9966
p25.C2	HTF_p26.D6	15	0	0.0
p25.C2	HTF_p5.D5	993	0	0.0
p25.C2	HTF_p7.G11	1063	0	0.0
p25.D2	HTF_p21.F9	746	0	0.0
p25.D2	HTF_p23.B8	31	0	0.0
p25.D2	HTF_p25.A12	777	0	0.0
p25.D2	HTF_p25.C2	1167	968	0.8295
p25.D2	HTF_p26.D6	15	0	0.0
p25.D2	HTF_p5.D5	993	0	0.0
p25.D2	HTF_p7.G11	1063	0	0.0
p26.B7	HTF_p21.F9	746	3	0.004
p26.B7	HTF_p23.B8	31	0	0.0
p26.B7	HTF_p25.A12	777	0	0.0
p26.B7	HTF_p25.C2	1167	698	0.5981
p26.B7	HTF_p26.D6	15	13	0.8667
p26.B7	HTF_p5.D5	993	85	0.0856
p26.B7	HTF_p7.G11	1063	35	0.0329
p26.D6	HTF_p21.F9	746	0	0.0
p26.D6	HTF_p23.B8	31	0	0.0
p26.D6	HTF_p25.A12	777	0	0.0
p26.D6	HTF_p25.C2	1167	0	0.0
p26.D6	HTF_p26.D6	15	13	0.8667
p26.D6	HTF_p5.D5	993	0	0.0
p26.D6	HTF_p7.G11	1063	0	0.0
p26.E7	HTF_p21.F9	746	0	0.0
p26.E7	HTF_p23.B8	31	31	1.0
p26.E7	HTF_p25.A12	777	0	0.0
p26.E7	HTF_p25.C2	1167	0	0.0
p26.E7	HTF_p26.D6	15	0	0.0
p26.E7	HTF_p5.D5	993	0	0.0
p26.E7	HTF_p7.G11	1063	0	0.0
p27.D6	HTF_p21.F9	746	257	0.3445
p27.D6	HTF_p23.B8	31	0	0.0
p27.D6	HTF_p25.A12	777	44	0.0566
p27.D6	HTF_p25.C2	1167	8	0.0069
p27.D6	HTF_p26.D6	15	13	0.8667
p27.D6	HTF_p5.D5	993	11	0.0111
p27.D6	HTF_p7.G11	1063	0	0.0
p27.F2	HTF_p21.F9	746	0	0.0
p27.F2	HTF_p23.B8	31	0	0.0
p27.F2	HTF_p25.A12	777	405	0.5212
p27.F2	HTF_p25.C2	1167	0	0.0
p27.F2	HTF_p26.D6	15	13	0.8667
p27.F2	HTF_p5.D5	993	11	0.0111
p27.F2	HTF_p7.G11	1063	31	0.0292
p3.A3	HTF_p21.F9	746	0	0.0
p3.A3	HTF_p23.B8	31	0	0.0
p3.A3	HTF_p25.A12	777	0	0.0
p3.A3	HTF_p25.C2	1167	785	0.6727
p3.A3	HTF_p26.D6	15	0	0.0
p3.A3	HTF_p5.D5	993	0	0.0
p3.A3	HTF_p7.G11	1063	0	0.0
p3.F12	HTF_p21.F9	746	0	0.0
p3.F12	HTF_p23.B8	31	0	0.0
p3.F12	HTF_p25.A12	777	0	0.0
p3.F12	HTF_p25.C2	1167	1167	1.0
p3.F12	HTF_p26.D6	15	0	0.0
p3.F12	HTF_p5.D5	993	0	0.0
p3.F12	HTF_p7.G11	1063	0	0.0
p3.F8	HTF_p21.F9	746	0	0.0
p3.F8	HTF_p23.B8	31	0	0.0
p3.F8	HTF_p25.A12	777	0	0.0
p3.F8	HTF_p25.C2	1167	0	0.0
p3.F8	HTF_p26.D6	15	15	1.0
p3.F8	HTF_p5.D5	993	0	0.0
p3.F8	HTF_p7.G11	1063	0	0.0
p3.G9	HTF_p21.F9	746	3	0.004
p3.G9	HTF_p23.B8	31	0	0.0
p3.G9	HTF_p25.A12	777	381	0.4903
p3.G9	HTF_p25.C2	1167	0	0.0
p3.G9	HTF_p26.D6	15	13	0.8667
p3.G9	HTF_p5.D5	993	2	0.002
p3.G9	HTF_p7.G11	1063	46	0.0433
p4.A6	HTF_p21.F9	746	0	0.0
p4.A6	HTF_p23.B8	31	0	0.0
p4.A6	HTF_p25.A12	777	0	0.0
p4.A6	HTF_p25.C2	1167	1093	0.9366
p4.A6	HTF_p26.D6	15	0	0.0
p4.A6	HTF_p5.D5	993	0	0.0
p4.A6	HTF_p7.G11	1063	0	0.0
p4.D2	HTF_p21.F9	746	0	0.0
p4.D2	HTF_p23.B8	31	0	0.0
p4.D2	HTF_p25.A12	777	335	0.4311
p4.D2	HTF_p25.C2	1167	0	0.0
p4.D2	HTF_p26.D6	15	0	0.0
p4.D2	HTF_p5.D5	993	71	0.0715
p4.D2	HTF_p7.G11	1063	6	0.0056
p4.E5	HTF_p21.F9	746	375	0.5027
p4.E5	HTF_p23.B8	31	0	0.0
p4.E5	HTF_p25.A12	777	0	0.0
p4.E5	HTF_p25.C2	1167	0	0.0
p4.E5	HTF_p26.D6	15	13	0.8667
p4.E5	HTF_p5.D5	993	27	0.0272
p4.E5	HTF_p7.G11	1063	0	0.0
p4.E6	HTF_p21.F9	746	420	0.563
p4.E6	HTF_p23.B8	31	0	0.0
p4.E6	HTF_p25.A12	777	0	0.0
p4.E6	HTF_p25.C2	1167	0	0.0
p4.E6	HTF_p26.D6	15	13	0.8667
p4.E6	HTF_p5.D5	993	27	0.0272
p4.E6	HTF_p7.G11	1063	31	0.0292
p5.C1	HTF_p21.F9	746	746	1.0
p5.C1	HTF_p23.B8	31	0	0.0
p5.C1	HTF_p25.A12	777	0	0.0
p5.C1	HTF_p25.C2	1167	0	0.0
p5.C1	HTF_p26.D6	15	0	0.0
p5.C1	HTF_p5.D5	993	0	0.0
p5.C1	HTF_p7.G11	1063	0	0.0
p5.C3	HTF_p21.F9	746	420	0.563
p5.C3	HTF_p23.B8	31	0	0.0
p5.C3	HTF_p25.A12	777	0	0.0
p5.C3	HTF_p25.C2	1167	0	0.0
p5.C3	HTF_p26.D6	15	13	0.8667
p5.C3	HTF_p5.D5	993	27	0.0272
p5.C3	HTF_p7.G11	1063	31	0.0292
p5.D5	HTF_p21.F9	746	0	0.0
p5.D5	HTF_p23.B8	31	0	0.0
p5.D5	HTF_p25.A12	777	0	0.0
p5.D5	HTF_p25.C2	1167	0	0.0
p5.D5	HTF_p26.D6	15	0	0.0
p5.D5	HTF_p5.D5	993	991	0.998
p5.D5	HTF_p7.G11	1063	0	0.0
p5.H11	HTF_p21.F9	746	0	0.0
p5.H11	HTF_p23.B8	31	0	0.0
p5.H11	HTF_p25.A12	777	0	0.0
p5.H11	HTF_p25.C2	1167	0	0.0
p5.H11	HTF_p26.D6	15	0	0.0
p5.H11	HTF_p5.D5	993	0	0.0
p5.H11	HTF_p7.G11	1063	1053	0.9906
p6.A10	HTF_p21.F9	746	0	0.0
p6.A10	HTF_p23.B8	31	0	0.0
p6.A10	HTF_p25.A12	777	0	0.0
p6.A10	HTF_p25.C2	1167	1136	0.9734
p6.A10	HTF_p26.D6	15	0	0.0
p6.A10	HTF_p5.D5	993	0	0.0
p6.A10	HTF_p7.G11	1063	0	0.0
p6.B9	HTF_p21.F9	746	0	0.0
p6.B9	HTF_p23.B8	31	0	0.0
p6.B9	HTF_p25.A12	777	0	0.0
p6.B9	HTF_p25.C2	1167	0	0.0
p6.B9	HTF_p26.D6	15	15	1.0
p6.B9	HTF_p5.D5	993	0	0.0
p6.B9	HTF_p7.G11	1063	0	0.0
p7.G11	HTF_p21.F9	746	0	0.0
p7.G11	HTF_p23.B8	31	0	0.0
p7.G11	HTF_p25.A12	777	0	0.0
p7.G11	HTF_p25.C2	1167	0	0.0
p7.G11	HTF_p26.D6	15	0	0.0
p7.G11	HTF_p5.D5	993	0	0.0
p7.G11	HTF_p7.G11	1063	1063	1.0
p8.B3	HTF_p21.F9	746	0	0.0
p8.B3	HTF_p23.B8	31	0	0.0
p8.B3	HTF_p25.A12	777	0	0.0
p8.B3	HTF_p25.C2	1167	1167	1.0
p8.B3	HTF_p26.D6	15	0	0.0
p8.B3	HTF_p5.D5	993	0	0.0
p8.B3	HTF_p7.G11	1063	0	0.0
p8.B9	HTF_p21.F9	746	0	0.0
p8.B9	HTF_p23.B8	31	0	0.0
p8.B9	HTF_p25.A12	777	0	0.0
p8.B9	HTF_p25.C2	1167	0	0.0
p8.B9	HTF_p26.D6	15	0	0.0
p8.B9	HTF_p5.D5	993	993	1.0
p8.B9	HTF_p7.G11	1063	0	0.0
p8.C7	HTF_p21.F9	746	356	0.4772
p8.C7	HTF_p23.B8	31	0	0.0
p8.C7	HTF_p25.A12	777	0	0.0
p8.C7	HTF_p25.C2	1167	8	0.0069
p8.C7	HTF_p26.D6	15	0	0.0
p8.C7	HTF_p5.D5	993	1	0.001
p8.C7	HTF_p7.G11	1063	0	0.0
p8.E4	HTF_p21.F9	746	0	0.0
p8.E4	HTF_p23.B8	31	0	0.0
p8.E4	HTF_p25.A12	777	777	1.0
p8.E4	HTF_p25.C2	1167	0	0.0
p8.E4	HTF_p26.D6	15	0	0.0
p8.E4	HTF_p5.D5	993	0	0.0
p8.E4	HTF_p7.G11	1063	0	0.0
p8.H7	HTF_p21.F9	746	0	0.0
p8.H7	HTF_p23.B8	31	0	0.0
p8.H7	HTF_p25.A12	777	47	0.0605
p8.H7	HTF_p25.C2	1167	0	0.0
p8.H7	HTF_p26.D6	15	13	0.8667
p8.H7	HTF_p5.D5	993	11	0.0111
p8.H7	HTF_p7.G11	1063	572	0.5381
p9.C4	HTF_p21.F9	746	3	0.004
p9.C4	HTF_p23.B8	31	0	0.0
p9.C4	HTF_p25.A12	777	381	0.4903
p9.C4	HTF_p25.C2	1167	0	0.0
p9.C4	HTF_p26.D6	15	13	0.8667
p9.C4	HTF_p5.D5	993	2	0.002
p9.C4	HTF_p7.G11	1063	46	0.0433
