SAMPLE	Tailocin_type	Coverage
Pseudomonas_syringae_M11_20731	T1	100
Pseudomonas_syringae_RMP66_6987	T2	100
Pseudomonas_syringae_P78_12243	T2	99
Pseudomonas_syringae_NZ45_6142	T1	100
Pseudomonas_syringae_pv_avellanae_str_ISPaVe013_26105	T1	97
Pseudomonas_syringae_pv_avellanae_ISPaVe037_292	T1	97
Pseudomonas_syringae_pv_aptata_G733_11468	T1	97
Pseudomonas_syringae_isolate_CFBP6109_6963	T1	97
Pseudomonas_syringae_pv_syringae_UMAF7000_17735	T2	100
Pseudomonas_syringae_pv_syringae_UMAF2016_17739	T2	100
Pseudomonas_syringae_pv_syringae_UMAF1003_17741	T2	100
Pseudomonas_syringae_pv_syringae_S2_2_20738	T2	100
Pseudomonas_syringae_pv_syringae_UMAF2600_17732	T2	100
Pseudomonas_syringae_CC457_20754	T2	100
Pseudomonas_syringae_pv_maculicola_YM7930_3817	T2	100
Pseudomonas_syringae_pv_syringae_SM_282	T2	99
Pseudomonas_syringae_pv_syringae_UMAF0271_17740	T1	100
Pseudomonas_syringae_pv_syringae_UMAF2801_17738	T1	100
Pseudomonas_syringae_pv_syringae_UMAF0176_17744	T1	100
Pseudomonas_syringae_pv_syringae_UMAF3028_17702	T1	100
Pseudomonas_syringae_CFBP_2116_6934	T1	100
Pseudomonas_syringae_pv_syringae_UMAF1013_17734	T1	97
Pseudomonas_syringae_pv_syringae_UMAF0297_17737	T1	97
Pseudomonas_syringae_pv_syringae_UMAF2815_17736	T2	99
Pseudomonas_syringae_USA011_12213	T2	100
Pseudomonas_syringae_UB303_12214	T2	100
Pseudomonas_syringae_UMAF0158_3878	T2	100
Pseudomonas_syringae_pv_syringae_B64_281	T1	100
Pseudomonas_syringae_pv_syringae_41a_3079	T1	100
Pseudomonas_syringae_ICMP_4122_6689	T1	97
Pseudomonas_syringae_pv_syringae_Alf3_2478	T2	99
Pseudomonas_syringae_pv_syringae_PssA1M201_17710	T1	100
Pseudomonas_syringae_pv_syringae_B301D_3084	T1	100
Pseudomonas_syringae_pv_syringae_B48_20739	T1	100
Pseudomonas_syringae_pv_syringae_PssA1M140_20740	T1	97
Pseudomonas_syringae_isolate_CFBP2118_5951	T1	97
Pseudomonas_syringae_pv_syringae_Pss9644_17750	T1	97
Pseudomonas_syringae_pv_syringae_PssA1M262_17714	T1	97
Pseudomonas_syringae_isolate_CFBP4215_6752	T1	97
Pseudomonas_syringae_pv_syringae_2340_3879	T2	100
Pseudomonas_syringae_pv_syringae_2339_3881	T2	100
Pseudomonas_syringae_pv_syringae_PssA1M250_17721	T2	100
Pseudomonas_syringae_2675C_6916	T2	100
Pseudomonas_syringae_pv_syringae_B728a_112	T2	100
Pseudomonas_syringae_pv_syringae_PssA1M197_17707	T2	100
Pseudomonas_syringae_pv_syringae_HO7_20736	T2	100
Pseudomonas_syringae_pv_syringae_529_11454	T2	100
Pseudomonas_syringae_pv_syringae_HS191_3083	T2	100
Pseudomonas_syringae_pv_syringae_EC33_20735	T2	100
Pseudomonas_syringae_2676C_6925	T2	100
Pseudomonas_syringae_pv_papulans_PSP1_20741	T2	100
Pseudomonas_syringae_ICMP_11293_3802	T2	100
Pseudomonas_syringae_260-02_11495	T2	99
Pseudomonas_syringae_1188_1_11471	T1	100
Pseudomonas_syringae_BS0292_5537	T1	100
Pseudomonas_syringae_BIM_B-268_17583	T1	100
Pseudomonas_syringae_2507_4122	T1	100
Pseudomonas_syringae_1845_4123	T1	100
Pseudomonas_syringae_Dr_447_1_17557	T2	100
Pseudomonas_syringae_BRIP34881_444	T2	100
Pseudomonas_syringae_BRIP65014-c_20724	T2	100
Pseudomonas_syringae_Erzin_2_17572	T2	100
Pseudomonas_syringae_Erzin_1_17571	T2	100
Pseudomonas_syringae_Erdemli_6_17567	T2	100
Pseudomonas_syringae_Erdemli_3_17569	T2	100
Pseudomonas_syringae_BRIP39023_442	T2	100
Pseudomonas_syringae_Dortyol_2015_6_17564	T2	100
Pseudomonas_syringae_NCPPB_3871_5835	T2	100
Pseudomonas_syringae_MUP32_20727	T1	100
Pseudomonas_syringae_CAS02_17541	T2	97
Pseudomonas_syringae_BS3827_5522	T2	100
Pseudomonas_syringae_BS3829_5514	T1	100
Pseudomonas_syringae_BS2900_5075	NA	49
Pseudomonas_syringae_pv_dysoxyli_CFBP_2356_12226	T2	100
Pseudomonas_syringae_pv_cilantro_0788_9_3786	T1	100
Pseudomonas_syringae_pv_lapsa_PslA1M171_17765	T1	100
Pseudomonas_syringae_pv_helianthi_LMG_5067_14836	T1	100
Pseudomonas_syringae_pv_lapsa_ATCC_10859_3811	T2	100
Pseudomonas_syringae_RAYR-BL_17598	T1	97
